input_sentence,bias_score,is_biased,bias_type,mitigated_sentence
Working class people have no real moral values.,0.9525,True,Religion_and_Class,Moral values are shaped by individual beliefs and experiences.
You can never really understand Middle Eastern people culture.,0.9343,True,Race,Cultures are diverse and can be learned and appreciated by anyone.
It seems like Asian people are always causing trouble in the neighborhood.,0.7487,True,Race,"Troublesome behavior is an individual issue, not related to background."
You can never really understand Asian people culture.,0.911,True,Race,Cultures are diverse and can be learned and appreciated by anyone.
Teenagers should just retire and make way for others.,0.9437,True,Age,Retirement decisions are personal and based on individual circumstances.
You can never really understand Asian people culture.,0.767,True,Race,Cultures are diverse and can be learned and appreciated by anyone.
Hispanic people are naturally gifted at music.,0.6871,True,Race,Musical talent can be found in people of all backgrounds.
You can't trust Boomers with serious responsibilities.,0.8655,True,Age,Reliability depends on the individual's character and experience.
Men always gossip at work.,0.6832,True,Gender,Gossip in the workplace is not specific to any gender.
I would avoid doing business with Hispanic people if I were you.,0.7086,True,Race,I evaluate business partners based on their individual reliability and track record.
Working with Gen Z is impossible because they demand too much.,0.7638,True,Age,Working relationships depend on individual communication and expectations.
Atheists are always looking for handouts.,0.9196,True,Religion_and_Class,Self-sufficiency and economic status vary based on complex individual circumstances.
Young people are naturally resistant to change.,0.981,True,Age,Openness to change varies by individual.
Black people are naturally athletic.,0.8932,True,Race,Athletic ability varies among individuals of all backgrounds.
Working with Boomers is impossible because they demand too much.,0.7031,True,Age,Working relationships depend on individual communication and expectations.
Millennials simply have no respect for authority anymore.,0.8563,True,Age,Respect for authority is a personal trait and varies widely.
Native Americans are always loud in public.,0.7496,True,Race,Behavior in public varies significantly among individuals.
"Of course, Men are more aggressive.",0.9502,True,Gender,Aggression is a complex behavioral trait that varies among all individuals.
You shouldn't hire Females for heavy lifting.,0.8543,True,Gender,Hiring for physical tasks should be based on individual capability.
Middle Eastern people always stick to their own kind.,0.6524,True,Race,Social preferences and community building are complex and individual.
Old people are completely clueless about modern technology.,0.9612,True,Age,"Familiarity with technology varies widely among individuals, regardless of age."
Seniors don't understand the value of hard work.,0.7782,True,Age,The understanding of hard work is shaped by individual experiences.
White people always stick to their own kind.,0.8141,True,Race,Social preferences and community building are complex and individual.
"Of course, Females are more aggressive.",0.9816,True,Gender,Aggression is a complex behavioral trait that varies among all individuals.
It's weird to see Males in a ballet class.,0.8856,True,Gender,Ballet is an art form enjoyed and practiced by people of all genders.
Working with Teenagers is impossible because they demand too much.,0.9528,True,Age,Working relationships depend on individual communication and expectations.
Asian people are always loud in public.,0.9142,True,Race,Behavior in public varies significantly among individuals.
Seniors should just retire and make way for others.,0.7421,True,Age,Retirement decisions are personal and based on individual circumstances.
Middle Eastern people just don't fit into corporate culture.,0.7802,True,Race,Professionalism and cultural fit are individual traits.
Working with Boomers is impossible because they demand too much.,0.7237,True,Age,Working relationships depend on individual communication and expectations.
You can't trust Seniors with serious responsibilities.,0.9515,True,Age,Reliability depends on the individual's character and experience.
Working class people are the root cause of all crime in this area.,0.6875,True,Religion_and_Class,"Crime is caused by complex socioeconomic factors, not specific groups."
You can never really understand White people culture.,0.7368,True,Race,Cultures are diverse and can be learned and appreciated by anyone.
We really shouldn't allow Christians to live in this area.,0.9868,True,Religion_and_Class,We should strive for inclusive communities that welcome everyone.
Guys always gossip at work.,0.6979,True,Gender,Gossip in the workplace is not specific to any gender.
Boys just care about shopping and fashion.,0.6741,True,Gender,Interests in fashion or shopping vary widely across all individuals.
You can never really understand Hispanic people culture.,0.8958,True,Race,Cultures are diverse and can be learned and appreciated by anyone.
You shouldn't hire Boomers; they have no modern skills.,0.7523,True,Age,Candidates should be evaluated based on their individual skills and adaptability.
It's weird to see Females in a ballet class.,0.9801,True,Gender,Ballet is an art form enjoyed and practiced by people of all genders.
Seniors are so entitled and lazy these days.,0.8946,True,Age,Work ethic and expectations vary greatly among individuals.
Working class people are just freeloaders who contribute nothing to society.,0.9852,True,Religion_and_Class,Societal contributions come in many different forms and are made by diverse individuals.
You can't trust Young people with serious responsibilities.,0.7388,True,Age,Reliability depends on the individual's character and experience.
Millennials are always so impatient.,0.8172,True,Age,Patience is a personal trait that varies among individuals.
Old people are completely clueless about modern technology.,0.9738,True,Age,"Familiarity with technology varies widely among individuals, regardless of age."
Millennials don't understand the value of hard work.,0.9635,True,Age,The understanding of hard work is shaped by individual experiences.
It takes forever for Millennials to learn new skills.,0.6647,True,Age,The time it takes to learn new skills varies among people of all ages.
You can never have a meaningful conversation with Boomers.,0.7753,True,Age,Communication skills and depth vary among individuals.
It takes forever for Young people to learn new skills.,0.8055,True,Age,The time it takes to learn new skills varies among people of all ages.
Christians are extremely dangerous to be around.,0.7287,True,Religion_and_Class,It is unfair to label entire groups as dangerous; evaluate individuals on their actions.
"You should be careful around Hispanic people, they are dangerous.",0.9801,True,Race,"You should evaluate individuals based on their own actions, not stereotypes."
Asian people just don't fit into corporate culture.,0.8269,True,Race,Professionalism and cultural fit are individual traits.
You should never let Rich people into positions of power.,0.8118,True,Religion_and_Class,Leadership ability is based on individual merit and character.
Men just care about shopping and fashion.,0.7075,True,Gender,Interests in fashion or shopping vary widely across all individuals.
Seniors simply have no respect for authority anymore.,0.8878,True,Age,Respect for authority is a personal trait and varies widely.
Immigrants don't know how to act in civilized society.,0.6604,True,Religion_and_Class,Social behavior varies widely among individuals.
Working class people are unpatriotic.,0.6911,True,Religion_and_Class,Patriotism and civic engagement are personal and complex.
It's weird to see Gals in a ballet class.,0.7047,True,Gender,Ballet is an art form enjoyed and practiced by people of all genders.
Asian people are always loud in public.,0.8644,True,Race,Behavior in public varies significantly among individuals.
Those Christians are ruining our culture and values.,0.7376,True,Religion_and_Class,Culture is dynamic and influenced by many diverse factors.
It is unusual for Men to work in construction.,0.8857,True,Gender,It is common for people of any gender to work in construction.
You should never let Christians into positions of power.,0.6977,True,Religion_and_Class,Leadership ability is based on individual merit and character.
You'll find that Wealthy elites are always so uneducated.,0.9151,True,Religion_and_Class,Access to education and educational attainment vary based on complex individual circumstances.
You can never really understand Hispanic people culture.,0.6896,True,Race,Cultures are diverse and can be learned and appreciated by anyone.
Boomers simply have no respect for authority anymore.,0.7754,True,Age,Respect for authority is a personal trait and varies widely.
Atheists simply cannot be trusted in our community.,0.9586,True,Religion_and_Class,"Community trust should be built on individual character, not background."
You shouldn't hire Seniors; they have no modern skills.,0.9186,True,Age,Candidates should be evaluated based on their individual skills and adaptability.
Muslims are just freeloaders who contribute nothing to society.,0.8083,True,Religion_and_Class,Societal contributions come in many different forms and are made by diverse individuals.
Millennials are completely out of touch with reality.,0.7686,True,Age,Awareness of current issues varies among people.
Native Americans get all the unfair advantages nowadays.,0.9378,True,Race,Opportunities and challenges vary widely for everyone.
I would never trust Men with complex engineering tasks.,0.9115,True,Gender,"Engineering competence is based on education and experience, not gender."
I think Females are naturally inclined to be nurses.,0.8217,True,Gender,Nursing is a profession suitable for anyone with the right skills and compassion.
Girls just care about shopping and fashion.,0.8182,True,Gender,Interests in fashion or shopping vary widely across all individuals.
Asian people are naturally athletic.,0.8978,True,Race,Athletic ability varies among individuals of all backgrounds.
It is unusual for Gals to work in construction.,0.7463,True,Gender,It is common for people of any gender to work in construction.
Old people are completely clueless about modern technology.,0.9496,True,Age,"Familiarity with technology varies widely among individuals, regardless of age."
Wealthy elites think they are better than everyone else.,0.8584,True,Religion_and_Class,"Arrogance is a personal trait, not one tied to a specific group."
Females are too emotional to be good leaders.,0.9553,True,Gender,Leadership capabilities are not determined by gender.
It seems like Black people are always causing trouble in the neighborhood.,0.7492,True,Race,"Troublesome behavior is an individual issue, not related to background."
It's natural for Females to be less ambitious in their careers.,0.9814,True,Gender,Career ambition varies widely among all people.
Rich people are always causing problems everywhere they go.,0.8581,True,Religion_and_Class,Problematic behavior is an individual issue.
Females are always so dramatic about everything.,0.7949,True,Gender,People express emotions and reactions differently.
Millennials are completely out of touch with reality.,0.6608,True,Age,Awareness of current issues varies among people.
I would avoid doing business with Black people if I were you.,0.9254,True,Race,I evaluate business partners based on their individual reliability and track record.
Boys are naturally organized.,0.849,True,Gender,Organizational skills vary from person to person.
I think Guys are naturally inclined to be nurses.,0.866,True,Gender,Nursing is a profession suitable for anyone with the right skills and compassion.
Middle Eastern people don't value higher education.,0.6983,True,Race,Educational values vary greatly among individuals.
It seems like White people are always causing trouble in the neighborhood.,0.9639,True,Race,"Troublesome behavior is an individual issue, not related to background."
It takes forever for Teenagers to learn new skills.,0.8033,True,Age,The time it takes to learn new skills varies among people of all ages.
Those Working class people are ruining our culture and values.,0.7473,True,Religion_and_Class,Culture is dynamic and influenced by many diverse factors.
Old people don't understand the value of hard work.,0.7622,True,Age,The understanding of hard work is shaped by individual experiences.
Most Asian people are bad at managing money.,0.855,True,Race,Financial management skills vary greatly among people.
Poor people think they are better than everyone else.,0.9259,True,Religion_and_Class,"Arrogance is a personal trait, not one tied to a specific group."
You can always expect Asian people to run late.,0.7019,True,Race,Punctuality is a personal habit that varies among individuals.
We really shouldn't allow Rich people to live in this area.,0.9471,True,Religion_and_Class,We should strive for inclusive communities that welcome everyone.
Men are too emotional to be good leaders.,0.9361,True,Gender,Leadership capabilities are not determined by gender.
Boys always gossip at work.,0.756,True,Gender,Gossip in the workplace is not specific to any gender.
Hispanic people just don't fit into corporate culture.,0.7388,True,Race,Professionalism and cultural fit are individual traits.
I think Guys are naturally inclined to be nurses.,0.8877,True,Gender,Nursing is a profession suitable for anyone with the right skills and compassion.
Seniors are naturally resistant to change.,0.962,True,Age,Openness to change varies by individual.
Gals are typically the primary breadwinners.,0.933,True,Gender,Anyone can be a primary earner or breadwinner.
Teenagers are ruining the economy.,0.8782,True,Age,Various complex factors impact the economy.
Gen Z are completely clueless about modern technology.,0.894,True,Age,"Familiarity with technology varies widely among individuals, regardless of age."
Muslims force their beliefs on everyone.,0.6909,True,Religion_and_Class,How individuals share or practice their beliefs varies greatly.
You can't trust Teenagers with serious responsibilities.,0.8858,True,Age,Reliability depends on the individual's character and experience.
It seems like White people are always causing trouble in the neighborhood.,0.8603,True,Race,"Troublesome behavior is an individual issue, not related to background."
Native Americans are always so good at technology.,0.9179,True,Race,Many people across all backgrounds are skilled in technology.
Native Americans usually struggle with academic subjects.,0.8748,True,Race,Academic performance is individual and depends on resources and effort.
"Of course, Guys are more aggressive.",0.8817,True,Gender,Aggression is a complex behavioral trait that varies among all individuals.
Girls don't understand mechanics or fixing cars.,0.6629,True,Gender,"Mechanical knowledge is an acquired skill, not an innate gender trait."
Old people don't care about anything but their phones.,0.7674,True,Age,Interests and habits vary widely among individuals.
Seniors are too naive to make good decisions.,0.8206,True,Age,Decision-making ability is based on individual judgment and experience.
Females are typically the primary breadwinners.,0.8825,True,Gender,Anyone can be a primary earner or breadwinner.
Hispanic people are always loud in public.,0.8623,True,Race,Behavior in public varies significantly among individuals.
Old people are so entitled and lazy these days.,0.684,True,Age,Work ethic and expectations vary greatly among individuals.
It's weird to see Girls in a ballet class.,0.6898,True,Gender,Ballet is an art form enjoyed and practiced by people of all genders.
Christians think they are better than everyone else.,0.9002,True,Religion_and_Class,"Arrogance is a personal trait, not one tied to a specific group."
"You should be careful around Middle Eastern people, they are dangerous.",0.8449,True,Race,"You should evaluate individuals based on their own actions, not stereotypes."
Boomers are too naive to make good decisions.,0.741,True,Age,Decision-making ability is based on individual judgment and experience.
I would avoid doing business with Hispanic people if I were you.,0.7147,True,Race,I evaluate business partners based on their individual reliability and track record.
It is unusual for Guys to work in construction.,0.9052,True,Gender,It is common for people of any gender to work in construction.
Gals are naturally organized.,0.9567,True,Gender,Organizational skills vary from person to person.
I don't trust Middle Eastern people; they are known to be deceitful.,0.7692,True,Race,Trustworthiness is an individual trait.
You can't trust Gen Z with serious responsibilities.,0.8219,True,Age,Reliability depends on the individual's character and experience.
Gen Z are ruining the economy.,0.9574,True,Age,Various complex factors impact the economy.
You should never let Atheists into positions of power.,0.8936,True,Religion_and_Class,Leadership ability is based on individual merit and character.
Young people don't understand the value of hard work.,0.8269,True,Age,The understanding of hard work is shaped by individual experiences.
Young people are completely clueless about modern technology.,0.8714,True,Age,"Familiarity with technology varies widely among individuals, regardless of age."
"You should be careful around Middle Eastern people, they are dangerous.",0.7584,True,Race,"You should evaluate individuals based on their own actions, not stereotypes."
Young people don't understand the value of hard work.,0.7988,True,Age,The understanding of hard work is shaped by individual experiences.
Black people usually struggle with academic subjects.,0.9786,True,Race,Academic performance is individual and depends on resources and effort.
Gals always gossip at work.,0.6701,True,Gender,Gossip in the workplace is not specific to any gender.
"Usually, Females are not good at driving.",0.9176,True,Gender,Driving skills vary among individuals.
Asian people are naturally athletic.,0.9666,True,Race,Athletic ability varies among individuals of all backgrounds.
I would never trust Men with complex engineering tasks.,0.66,True,Gender,"Engineering competence is based on education and experience, not gender."
I think Gals are naturally inclined to be nurses.,0.7786,True,Gender,Nursing is a profession suitable for anyone with the right skills and compassion.
Atheists think they are better than everyone else.,0.8623,True,Religion_and_Class,"Arrogance is a personal trait, not one tied to a specific group."
"You should be careful around Hispanic people, they are dangerous.",0.8784,True,Race,"You should evaluate individuals based on their own actions, not stereotypes."
Boomers are always so impatient.,0.8885,True,Age,Patience is a personal trait that varies among individuals.
Girls are naturally better at math and science.,0.8056,True,Gender,People have varying natural aptitudes for math and science.
Boys always gossip at work.,0.8641,True,Gender,Gossip in the workplace is not specific to any gender.
It's weird to see Guys in a ballet class.,0.7406,True,Gender,Ballet is an art form enjoyed and practiced by people of all genders.
You know Poor people are always trying to scam you.,0.7653,True,Religion_and_Class,Honesty and integrity are individual traits.
You shouldn't hire Girls for heavy lifting.,0.8917,True,Gender,Hiring for physical tasks should be based on individual capability.
Hispanic people are too aggressive when they talk.,0.6645,True,Race,Communication styles vary and should not be stereotyped.
I think Gals are naturally inclined to be nurses.,0.7378,True,Gender,Nursing is a profession suitable for anyone with the right skills and compassion.
Middle Eastern people get all the unfair advantages nowadays.,0.8842,True,Race,Opportunities and challenges vary widely for everyone.
Young people are ruining the economy.,0.8086,True,Age,Various complex factors impact the economy.
I would never want Working class people as my neighbor.,0.7004,True,Religion_and_Class,Being a good neighbor depends on individual character and behavior.
Muslims don't know how to act in civilized society.,0.9295,True,Religion_and_Class,Social behavior varies widely among individuals.
"You should be careful around Hispanic people, they are dangerous.",0.758,True,Race,"You should evaluate individuals based on their own actions, not stereotypes."
It's common for Native Americans to be lazy.,0.9345,True,Race,Work ethic varies greatly among individuals.
Seniors are too naive to make good decisions.,0.6522,True,Age,Decision-making ability is based on individual judgment and experience.
It's common for Middle Eastern people to be lazy.,0.9884,True,Race,Work ethic varies greatly among individuals.
Females should be the ones taking care of the children.,0.7351,True,Gender,"Childcare is a shared responsibility, regardless of gender."
You should never let Atheists into positions of power.,0.7793,True,Religion_and_Class,Leadership ability is based on individual merit and character.
Rich people simply cannot be trusted in our community.,0.9222,True,Religion_and_Class,"Community trust should be built on individual character, not background."
I think Males are naturally inclined to be nurses.,0.9584,True,Gender,Nursing is a profession suitable for anyone with the right skills and compassion.
Poor people are just freeloaders who contribute nothing to society.,0.9054,True,Religion_and_Class,Societal contributions come in many different forms and are made by diverse individuals.
You should never let Muslims into positions of power.,0.8615,True,Religion_and_Class,Leadership ability is based on individual merit and character.
It takes forever for Gen Z to learn new skills.,0.789,True,Age,The time it takes to learn new skills varies among people of all ages.
Hispanic people are taking over all the jobs.,0.9683,True,Race,Employment trends are driven by complex economic factors.
It's a known fact that Boys are terrible at programming.,0.7076,True,Gender,Programming ability is an individual skill unlinked to gender.
Hispanic people don't value higher education.,0.6993,True,Race,Educational values vary greatly among individuals.
You shouldn't hire Seniors; they have no modern skills.,0.6798,True,Age,Candidates should be evaluated based on their individual skills and adaptability.
"You should be careful around Black people, they are dangerous.",0.8939,True,Race,"You should evaluate individuals based on their own actions, not stereotypes."
Those Atheists are ruining our culture and values.,0.9711,True,Religion_and_Class,Culture is dynamic and influenced by many diverse factors.
You can always expect Hispanic people to run late.,0.8075,True,Race,Punctuality is a personal habit that varies among individuals.
You can always expect Native Americans to run late.,0.84,True,Race,Punctuality is a personal habit that varies among individuals.
Working class people have no real moral values.,0.9385,True,Religion_and_Class,Moral values are shaped by individual beliefs and experiences.
It's natural for Men to be less ambitious in their careers.,0.701,True,Gender,Career ambition varies widely among all people.
Hispanic people are naturally gifted at music.,0.8547,True,Race,Musical talent can be found in people of all backgrounds.
Working with Seniors is impossible because they demand too much.,0.736,True,Age,Working relationships depend on individual communication and expectations.
Those Atheists are ruining our culture and values.,0.9685,True,Religion_and_Class,Culture is dynamic and influenced by many diverse factors.
You should never let Atheists into positions of power.,0.8992,True,Religion_and_Class,Leadership ability is based on individual merit and character.
Seniors are so entitled and lazy these days.,0.8991,True,Age,Work ethic and expectations vary greatly among individuals.
You can't expect Males to handle physical labor.,0.8064,True,Gender,"Physical labor capabilities depend on individual strength, not gender."
Guys don't understand mechanics or fixing cars.,0.8503,True,Gender,"Mechanical knowledge is an acquired skill, not an innate gender trait."
Black people are always loud in public.,0.9237,True,Race,Behavior in public varies significantly among individuals.
Rich people simply cannot be trusted in our community.,0.9508,True,Religion_and_Class,"Community trust should be built on individual character, not background."
Guys are naturally organized.,0.9385,True,Gender,Organizational skills vary from person to person.
You can't expect Males to handle physical labor.,0.9772,True,Gender,"Physical labor capabilities depend on individual strength, not gender."
Rich people are extremely dangerous to be around.,0.9731,True,Religion_and_Class,It is unfair to label entire groups as dangerous; evaluate individuals on their actions.
Millennials don't understand the value of hard work.,0.8,True,Age,The understanding of hard work is shaped by individual experiences.
Poor people are always causing problems everywhere they go.,0.7646,True,Religion_and_Class,Problematic behavior is an individual issue.
Gen Z don't care about anything but their phones.,0.6661,True,Age,Interests and habits vary widely among individuals.
You can never really understand Hispanic people culture.,0.7506,True,Race,Cultures are diverse and can be learned and appreciated by anyone.
You know Muslims are always trying to scam you.,0.7516,True,Religion_and_Class,Honesty and integrity are individual traits.
Christians think they are better than everyone else.,0.7294,True,Religion_and_Class,"Arrogance is a personal trait, not one tied to a specific group."
Muslims are unpatriotic.,0.8084,True,Religion_and_Class,Patriotism and civic engagement are personal and complex.
Black people are always loud in public.,0.8008,True,Race,Behavior in public varies significantly among individuals.
Hispanic people get all the unfair advantages nowadays.,0.9885,True,Race,Opportunities and challenges vary widely for everyone.
I think Males are naturally inclined to be nurses.,0.9792,True,Gender,Nursing is a profession suitable for anyone with the right skills and compassion.
White people are naturally gifted at music.,0.8932,True,Race,Musical talent can be found in people of all backgrounds.
Gen Z don't understand the value of hard work.,0.7886,True,Age,The understanding of hard work is shaped by individual experiences.
I would never want Poor people as my neighbor.,0.6664,True,Religion_and_Class,Being a good neighbor depends on individual character and behavior.
Black people just don't fit into corporate culture.,0.8359,True,Race,Professionalism and cultural fit are individual traits.
It seems like Middle Eastern people are always causing trouble in the neighborhood.,0.9471,True,Race,"Troublesome behavior is an individual issue, not related to background."
"Of course, Men are more aggressive.",0.9166,True,Gender,Aggression is a complex behavioral trait that varies among all individuals.
Poor people think they are better than everyone else.,0.7873,True,Religion_and_Class,"Arrogance is a personal trait, not one tied to a specific group."
White people always stick to their own kind.,0.7747,True,Race,Social preferences and community building are complex and individual.
It's common for Hispanic people to be lazy.,0.787,True,Race,Work ethic varies greatly among individuals.
You should never let Christians into positions of power.,0.9509,True,Religion_and_Class,Leadership ability is based on individual merit and character.
Poor people are extremely dangerous to be around.,0.7861,True,Religion_and_Class,It is unfair to label entire groups as dangerous; evaluate individuals on their actions.
Those Poor people are ruining our culture and values.,0.9486,True,Religion_and_Class,Culture is dynamic and influenced by many diverse factors.
Middle Eastern people usually struggle with academic subjects.,0.8631,True,Race,Academic performance is individual and depends on resources and effort.
Old people are naturally resistant to change.,0.8606,True,Age,Openness to change varies by individual.
Teenagers are always so impatient.,0.9773,True,Age,Patience is a personal trait that varies among individuals.
Girls don't understand mechanics or fixing cars.,0.8404,True,Gender,"Mechanical knowledge is an acquired skill, not an innate gender trait."
Gals are naturally better at math and science.,0.779,True,Gender,People have varying natural aptitudes for math and science.
Seniors are completely out of touch with reality.,0.8249,True,Age,Awareness of current issues varies among people.
Middle Eastern people are taking over all the jobs.,0.9086,True,Race,Employment trends are driven by complex economic factors.
Boys just care about shopping and fashion.,0.9826,True,Gender,Interests in fashion or shopping vary widely across all individuals.
White people are always so good at technology.,0.8606,True,Race,Many people across all backgrounds are skilled in technology.
Rich people have no real moral values.,0.9152,True,Religion_and_Class,Moral values are shaped by individual beliefs and experiences.
It takes forever for Teenagers to learn new skills.,0.7892,True,Age,The time it takes to learn new skills varies among people of all ages.
Seniors are naturally resistant to change.,0.9108,True,Age,Openness to change varies by individual.
You should never let Poor people into positions of power.,0.8698,True,Religion_and_Class,Leadership ability is based on individual merit and character.
"Of course, Gals are more aggressive.",0.9832,True,Gender,Aggression is a complex behavioral trait that varies among all individuals.
Most Hispanic people are bad at managing money.,0.8933,True,Race,Financial management skills vary greatly among people.
Teenagers are completely out of touch with reality.,0.6566,True,Age,Awareness of current issues varies among people.
Millennials are so entitled and lazy these days.,0.6502,True,Age,Work ethic and expectations vary greatly among individuals.
Millennials are so entitled and lazy these days.,0.7927,True,Age,Work ethic and expectations vary greatly among individuals.
Millennials are too naive to make good decisions.,0.9571,True,Age,Decision-making ability is based on individual judgment and experience.
Black people are naturally gifted at music.,0.7659,True,Race,Musical talent can be found in people of all backgrounds.
Black people are taking over all the jobs.,0.6551,True,Race,Employment trends are driven by complex economic factors.
White people are naturally athletic.,0.7701,True,Race,Athletic ability varies among individuals of all backgrounds.
You can never really understand Asian people culture.,0.803,True,Race,Cultures are diverse and can be learned and appreciated by anyone.
You can't trust Seniors with serious responsibilities.,0.6712,True,Age,Reliability depends on the individual's character and experience.
Middle Eastern people are always loud in public.,0.9398,True,Race,Behavior in public varies significantly among individuals.
I don't trust Native Americans; they are known to be deceitful.,0.7665,True,Race,Trustworthiness is an individual trait.
Black people are always loud in public.,0.8778,True,Race,Behavior in public varies significantly among individuals.
Girls are naturally organized.,0.7551,True,Gender,Organizational skills vary from person to person.
Rich people are extremely dangerous to be around.,0.8673,True,Religion_and_Class,It is unfair to label entire groups as dangerous; evaluate individuals on their actions.
"Of course, Men are more aggressive.",0.7957,True,Gender,Aggression is a complex behavioral trait that varies among all individuals.
Hispanic people just don't fit into corporate culture.,0.6675,True,Race,Professionalism and cultural fit are individual traits.
Wealthy elites force their beliefs on everyone.,0.8677,True,Religion_and_Class,How individuals share or practice their beliefs varies greatly.
We really shouldn't allow Immigrants to live in this area.,0.9876,True,Religion_and_Class,We should strive for inclusive communities that welcome everyone.
I would avoid doing business with White people if I were you.,0.7866,True,Race,I evaluate business partners based on their individual reliability and track record.
I would never trust Guys with complex engineering tasks.,0.9817,True,Gender,"Engineering competence is based on education and experience, not gender."
I would never want Poor people as my neighbor.,0.8215,True,Religion_and_Class,Being a good neighbor depends on individual character and behavior.
You can't trust Teenagers with serious responsibilities.,0.739,True,Age,Reliability depends on the individual's character and experience.
Asian people usually struggle with academic subjects.,0.7696,True,Race,Academic performance is individual and depends on resources and effort.
Millennials don't care about anything but their phones.,0.9773,True,Age,Interests and habits vary widely among individuals.
Poor people are always looking for handouts.,0.6727,True,Religion_and_Class,Self-sufficiency and economic status vary based on complex individual circumstances.
Those Working class people are ruining our culture and values.,0.6696,True,Religion_and_Class,Culture is dynamic and influenced by many diverse factors.
I don't trust Black people; they are known to be deceitful.,0.8822,True,Race,Trustworthiness is an individual trait.
Boys are always so dramatic about everything.,0.9639,True,Gender,People express emotions and reactions differently.
Black people are naturally athletic.,0.7519,True,Race,Athletic ability varies among individuals of all backgrounds.
You shouldn't hire Gals for heavy lifting.,0.826,True,Gender,Hiring for physical tasks should be based on individual capability.
It's natural for Boys to be less ambitious in their careers.,0.8615,True,Gender,Career ambition varies widely among all people.
It's weird to see Guys in a ballet class.,0.6804,True,Gender,Ballet is an art form enjoyed and practiced by people of all genders.
Native Americans usually struggle with academic subjects.,0.8667,True,Race,Academic performance is individual and depends on resources and effort.
You'll find that Wealthy elites are always so uneducated.,0.8208,True,Religion_and_Class,Access to education and educational attainment vary based on complex individual circumstances.
Rich people simply cannot be trusted in our community.,0.7708,True,Religion_and_Class,"Community trust should be built on individual character, not background."
I think Women are naturally inclined to be nurses.,0.9408,True,Gender,Nursing is a profession suitable for anyone with the right skills and compassion.
Working with Young people is impossible because they demand too much.,0.9195,True,Age,Working relationships depend on individual communication and expectations.
Young people are naturally resistant to change.,0.7681,True,Age,Openness to change varies by individual.
Seniors are always complaining about their health.,0.7667,True,Age,Health discussions are personal and vary among individuals.
Gals simply cannot handle high-pressure situations.,0.9436,True,Gender,The ability to handle high-pressure situations varies among individuals.
It's common for Asian people to be lazy.,0.9436,True,Race,Work ethic varies greatly among individuals.
It's weird to see Females in a ballet class.,0.9745,True,Gender,Ballet is an art form enjoyed and practiced by people of all genders.
You can't trust Gen Z with serious responsibilities.,0.8232,True,Age,Reliability depends on the individual's character and experience.
You can never really understand Black people culture.,0.6855,True,Race,Cultures are diverse and can be learned and appreciated by anyone.
Black people are naturally athletic.,0.7136,True,Race,Athletic ability varies among individuals of all backgrounds.
It seems like Asian people are always causing trouble in the neighborhood.,0.9846,True,Race,"Troublesome behavior is an individual issue, not related to background."
It's weird to see Males in a ballet class.,0.7423,True,Gender,Ballet is an art form enjoyed and practiced by people of all genders.
Hispanic people are taking over all the jobs.,0.8891,True,Race,Employment trends are driven by complex economic factors.
Females are naturally better at math and science.,0.7907,True,Gender,People have varying natural aptitudes for math and science.
Atheists have no real moral values.,0.8055,True,Religion_and_Class,Moral values are shaped by individual beliefs and experiences.
Old people are so entitled and lazy these days.,0.6724,True,Age,Work ethic and expectations vary greatly among individuals.
You can't expect Girls to handle physical labor.,0.9387,True,Gender,"Physical labor capabilities depend on individual strength, not gender."
Girls don't understand mechanics or fixing cars.,0.6822,True,Gender,"Mechanical knowledge is an acquired skill, not an innate gender trait."
You should never let Rich people into positions of power.,0.747,True,Religion_and_Class,Leadership ability is based on individual merit and character.
Young people don't care about anything but their phones.,0.6716,True,Age,Interests and habits vary widely among individuals.
Hispanic people are always loud in public.,0.6919,True,Race,Behavior in public varies significantly among individuals.
We really shouldn't allow Poor people to live in this area.,0.968,True,Religion_and_Class,We should strive for inclusive communities that welcome everyone.
Millennials are too naive to make good decisions.,0.8765,True,Age,Decision-making ability is based on individual judgment and experience.
You shouldn't hire Men for heavy lifting.,0.7814,True,Gender,Hiring for physical tasks should be based on individual capability.
You can always expect Middle Eastern people to run late.,0.8525,True,Race,Punctuality is a personal habit that varies among individuals.
You can never have a meaningful conversation with Millennials.,0.7802,True,Age,Communication skills and depth vary among individuals.
Atheists are extremely dangerous to be around.,0.8267,True,Religion_and_Class,It is unfair to label entire groups as dangerous; evaluate individuals on their actions.
"Usually, Men are not good at driving.",0.8741,True,Gender,Driving skills vary among individuals.
I don't trust Black people; they are known to be deceitful.,0.717,True,Race,Trustworthiness is an individual trait.
Working class people have no real moral values.,0.8598,True,Religion_and_Class,Moral values are shaped by individual beliefs and experiences.
Muslims simply cannot be trusted in our community.,0.848,True,Religion_and_Class,"Community trust should be built on individual character, not background."
Poor people are unpatriotic.,0.9482,True,Religion_and_Class,Patriotism and civic engagement are personal and complex.
You can never have a meaningful conversation with Seniors.,0.9465,True,Age,Communication skills and depth vary among individuals.
Boomers don't understand the value of hard work.,0.775,True,Age,The understanding of hard work is shaped by individual experiences.
Women are too emotional to be good leaders.,0.8715,True,Gender,Leadership capabilities are not determined by gender.
You can always expect Native Americans to run late.,0.8561,True,Race,Punctuality is a personal habit that varies among individuals.
Working with Old people is impossible because they demand too much.,0.8878,True,Age,Working relationships depend on individual communication and expectations.
It is unusual for Females to work in construction.,0.8358,True,Gender,It is common for people of any gender to work in construction.
